Reference Id	Reference Type	Brief Author	Brief Title	Link	Citation
29	video	Owens et al.	Visually indicated sounds: results	https://www.youtube.com/watch?v=JpZUZ9ZDECE	
30	link	Google Research	How Google Translate squeezes deep learning onto a phone	https://research.googleblog.com/2015/07/how-google-translate-squeezes-deep.html	
31	link	Google Research	Building a deeper understanding of images	https://research.googleblog.com/2014/09/building-deeper-understanding-of-images.html	
32	paper	He et al.	Deep residual learning for image recognition	https://arxiv.org/pdf/1512.03385v1.pdf	He, Kaiming, et al. "Deep residual learning for image recognition." arXiv preprint arXiv:1512.03385 (2015).
33	paper	Graves	Generating sequences with recurrent neural networks	https://arxiv.org/pdf/1308.0850v5.pdf	Graves, Alex. "Generating sequences with recurrent neural networks." arXiv preprint arXiv:1308.0850 (2013).
34	link	Graves	Recurrent Neural Network Handwriting Recognition Demo	http://www.cs.toronto.edu/~graves/handwriting.cgi	
35	link	Karpathy	The Unreasonable Effectiveness of Recurrent Neural Networks	http://karpathy.github.io/2015/05/21/rnn-effectiveness/	
36	paper	Ba et al.	Multiple object recognition with visual attention	https://arxiv.org/pdf/1412.7755v2.pdf	Jimmy Ba, Volodymyr Mnih, and Koray Kavukcuoglu. "Multiple object recognition with visual attention." arXiv preprint arXiv:1412.7755 (2014).
37	paper	Gregor et al.	DRAW: A recurrent neural network for image generation	https://arxiv.org/pdf/1502.04623.pdf	Karol Gregor, Ivo Danihelka, Alex Graves, Danilo Jimenez Rezende, and Daan Wierstra. "DRAW: A recurrent neural network for image generation." arXiv preprint arXiv:1502.04623 (2015).
38	video	Gregor et al.	DRAW: A Recurrent Neural Network For Image Generation by Google DeepMind	https://www.youtube.com/watch?v=Zt-7MI9eKEo	
39	link	Hayes	@DeepDrumpf: A Deeper President for Deeper Issues	http://www.deepdrumpf2016.com/	
40	paper	Ren et al.	Exploring models and data for image question answering.	https://arxiv.org/pdf/1505.02074v4.pdf	Mengye Ren, Ryan Kiros, and Richard Zemel. "Exploring models and data for image question answering." In Advances in Neural Information Processing Systems, pp. 2953-2961. 2015.
41	link	Venugopalan et al.	Sequence to Sequence - Video to Text	https://vsubhashini.github.io/s2vt.html	
42	paper	Venugopalan et al.	Sequence to Sequence - Video to Text	http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Venugopalan_Sequence_to_Sequence_ICCV_2015_paper.pdf	Venugopalan, Subhashini, et al. "Sequence to sequence-video to text." Proceedings of the IEEE International Conference on Computer Vision. 2015.
43	paper	Fang et al.	From Captions to Visual Concepts and Back	https://arxiv.org/pdf/1411.4952v3.pdf	Fang, Hao, et al. "From captions to visual concepts and back." Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition. 2015.
44	link	Wei	Moravec's Paradox and self-driving cars	http://www.eugenewei.com/blog/2014/10/13/moravecs-paradox-and-self-driving-cars	
45	link	NY Times	New Navy Device Learns by Doing	http://www.nytimes.com/1958/07/08/archives/new-navy-device-learns-by-doing-psychologist-shows-embryo-of.html	
46	link	Tucker	Introduction to Intelligent Systems	http://slideplayer.com/slide/4644026/	
47	image	Wikimedia	Hype Cycle	https://en.wikipedia.org/wiki/Hype_cycle	
48	link	Wikipedia	AI Winter	https://en.wikipedia.org/wiki/AI_winter	
49	video	Wu et al.	Imaging Cytometry of Human Leukocytes with Third Harmonic Generation Microscopy	http://www.nature.com/articles/srep37210	
50	image	Banino-Rokkones	Deep Learning Big Data Meetup	http://www.slideshare.net/CyrilBaninoRokkones/deep-learning-big-data-meetup-slides	
51	image	McKinsey	How many new cars may be fully autonomous in 2030?	http://www.mckinsey.com/~/media/McKinsey/Industries/High%20Tech/Our%20Insights/Disruptive%20trends%20that%20will%20transform%20the%20auto%20industry/PNG_Disruptive_trends_auto_industry_ex2.ashx	
52	paper	Girardin et al.	Sensors and Data Management for Autonomous Vehicles	http://www.i-micronews.com/report/product/sensors-and-data-management-for-autonomous-vehicles-report-2015.html	
53	image	Zilis	Machine Intelligence Landscape	http://www.shivonzilis.com/machineintelligence 	
54	image	NVIDIA	From the Frontline: How Deep Learning Plays Critical Role in Military Problem-Solving	https://blogs.nvidia.com/blog/2016/06/29/deep-learning-6/	
55	image	Ray	ImageNet Classification Error	https://www.quora.com/What-is-the-state-of-the-art-today-on-ImageNet-classification-In-other-words-has-anybody-beaten-Deep-Residual-Learning	
56	image	NVIDIA	Every Industry Wants Intelligence	https://blogs.nvidia.com/wp-content/uploads/2016/01/4-survey-web.gif	
57	link	Parloff	Why Deep Learning is Suddenly Changing Your Life	http://fortune.com/ai-artificial-intelligence-deep-machine-learning/	
58	link	Curtis	What To Expect from Deep Learning in 2016 and Beyond	http://www.kdnuggets.com/2016/01/deep-learning-2016-beyond.html	
59	book	Russel	Artificial Intelligence: A Modern Approach	http://aima.cs.berkeley.edu/	Russell, Stuart Jonathan, et al. Artificial intelligence: a modern approach. Vol. 2. Upper Saddle River: Prentice hall, 2003.
60	link	Time	Can Machines Think?	http://content.time.com/time/magazine/0,9263,7601960325,00.html	
61	link	Nowozin	Where will Artificial Intelligence come from?	http://www.nowozin.net/sebastian/blog/where-will-artificial-intelligence-come-from.html	
62	book	Nielsen	Neural Networks and Deep Learning	http://neuralnetworksanddeeplearning.com/	
63	link	Karpathy	Deep Reinforcement Learning: Pong from Pixels	http://karpathy.github.io/2016/05/31/rl/	
64	link	Amodei et al.	Faulty Reward Functions in the Wild	https://openai.com/blog/faulty-reward-functions/	
65	link	Geitgey	Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks	https://medium.com/@ageitgey/machine-learning-is-fun-part-3-deep-learning-and-convolutional-neural-networks-f40359318721#.rvhs3am6t	
66	link	Iskrenov	Face Recognition for Android	http://iskrenov.com/blog/programming/face_recognition_for_android_part_1	
67	paper	Nguyen et al.	Deep Neural Networks are Easily Fooled: High Confidence Predictions for Unrecognizable Images	https://arxiv.org/pdf/1412.1897.pdf	Nguyen, Anh, Jason Yosinski, and Jeff Clune. "Deep neural networks are easily fooled: High confidence predictions for unrecognizable images." 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR). IEEE, 2015.
68	paper	Szegedy et al.	Intriguing properties of neural networks	https://arxiv.org/pdf/1312.6199v4.pdf	Szegedy, Christian, et al. "Intriguing properties of neural networks." arXiv preprint arXiv:1312.6199 (2013).
69	paper	Parkhi et al.	The truth about cats and dogs	https://www.robots.ox.ac.uk/~vgg/publications/2011/Parkhi11/parkhi11.pdf	Parkhi, Omkar M., et al. "The truth about cats and dogs." 2011 International Conference on Computer Vision. IEEE, 2011.
70	paper	Parkhi et al.	Cats and Dogs	http://www.robots.ox.ac.uk/~vgg/publications/2012/parkhi12a/parkhi12a.pdf	Parkhi, Omkar M., et al. "Cats and dogs." Computer Vision and Pattern Recognition (CVPR), 2012 IEEE Conference on. IEEE, 2012.
71	image	ExtremeTech	A laser and a Raspberry Pi can disable a self-driving car	https://www.extremetech.com/extreme/213517-a-laser-and-a-raspberry-pi-can-disable-a-self-driving-car	
72	image	Harris	Researcher Hacks Self-driving Car Sensors	http://spectrum.ieee.org/cars-that-think/transportation/self-driving/researcher-hacks-selfdriving-car-sensors	
73	video	Fritz	DARPA Grand Challenge - Stanley Wins	https://www.youtube.com/watch?v=LZ3bbHTsOL4	
74	video	CMU	CMU Boss DARPA Urban Challenge 2007	https://www.youtube.com/watch?v=4hFhl0Oi8KI	
75	image	Wikimedia	Google Driverless Car	https://upload.wikimedia.org/wikipedia/commons/e/ee/Google_driverless_car_at_intersection.gk.jpg	
76	image	Tesla	Tesla Autopilot	https://www.tesla.com/sites/default/files/styles/customer_2x_mobile_1200x816/public/media-vimeo/154227644.jpg	
77	paper	Google	Google Self-Driving Car Testing Report on Disengagements of Autonomous Mode December 2015	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjilaL_qLXRAhWK5SYKHVMNAX4QFggcMAA&url=https%3A%2F%2Fwww.dmv.ca.gov%2Fportal%2Fwcm%2Fconnect%2Fdff67186-70dd-4042-bc8c-d7b2a9904665%2FGoogleDisengagementReport2014-15.pdf%3FMOD%3DAJPERES&usg=AFQjCNGjWU4uawAVGbUgEpLlw0CaraL51A&sig2=bcWLPm_z8MKFsCSHNWUcFw	
78	link	Berger	Perceptrons - the most basic form of a neural network	https://appliedgo.net/perceptron/	
79	link	Wikipedia	NAND logic	https://en.wikipedia.org/wiki/NAND_logic	
80	link	Nielsen	Using neural nets to recognize handwritten digits	http://neuralnetworksanddeeplearning.com/chap1.html	
81	link	Morgun	Type of Machine Learning	http://en.proft.me/2015/12/24/types-machine-learning-algorithms/	
82	paper	Mnih et al.	Human level control through deep reinforcement learning	http://ir.hit.edu.cn/~jguo/docs/notes/dqn-atari.pdf	Mnih, Volodymyr, et al. "Human-level control through deep reinforcement learning." Nature 518.7540 (2015): 529-533.
83	paper	Mnih et al.	Playing Atari with Deep Reinforcement Learning	http://arxiv.org/pdf/1312.5602.pdf)	Mnih, Volodymyr, et al. "Playing atari with deep reinforcement learning." arXiv preprint arXiv:1312.5602 (2013).
84	link	Matiisen	Demystifying Deep Reinforcement Learning	https://www.nervanasys.com/demystifying-deep-reinforcement-learning/	
85	video	Zsolnai-Feher	Google DeepMind's Deep Q-Learning & Superhuman Atari Gameplays | Two Minute Papers 	https://www.youtube.com/watch?v=Ih8EfvOzBOY	
86	paper	Nair et al.	Massively parallel methods for deep reinforcement learning.	http://arxiv.org/pdf/1507.04296	Nair, Arun, et al. "Massively parallel methods for deep reinforcement learning." arXiv preprint arXiv:1507.04296 (2015).
87	link	David Silver	AlphaGo	http://icml.cc/2016/tutorials/AlphaGo-tutorial-slides.pdf	
88	image	Wikimedia	Lena	https://upload.wikimedia.org/wikipedia/en/2/24/Lenna.png	
89	link	Karpathy et al.	Image Classification	http://cs231n.github.io/classification/	
90	link	Fei-Fei et al.	ImageNet	http://image-net.org/	
91	link	Krizhevsky et al.	CIFAR-10 and CIFAR-100	https://www.cs.toronto.edu/~kriz/cifar.html	
92	link	LeCun et al.	MNIST	http://yann.lecun.com/exdb/mnist/	
93	link	Zhou et al.	Places	http://places.csail.mit.edu/	
94	link	Kaggle	CIFAR-10 Object Recognition in Images	https://www.kaggle.com/c/cifar-10/leaderboard	
95	link	Karpathy et al.	Convolutional Neural Networks	http://cs231n.github.io/convolutional-networks/	
96	paper	Long et al.	Fully Convolutional Networks for Semantic Segmentation	https://arxiv.org/pdf/1411.4038.pdf	Long, Jonathan, Evan Shelhamer, and Trevor Darrell. "Fully convolutional networks for semantic segmentation." Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition. 2015.
97	paper	Girshick	Fast R-CNN	http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Girshick_Fast_R-CNN_ICCV_2015_paper.pdf	Girshick, Ross. "Fast r-cnn." Proceedings of the IEEE International Conference on Computer Vision. 2015.
98	link	Mur-Artal et al.	ORB-SLAM2	https://github.com/raulmur/ORB_SLAM2	
99	video	Mur-Artal et al.	ORB-SLAM in the KITTI dataset	https://www.youtube.com/watch?v=8DISRmsO2YQ	
100	link	Sebastian Raschka	A Visual Explanation of the Back Propagation Algorithm for Neural Networks	http://www.kdnuggets.com/2016/06/visual-explanation-backpropagation-algorithm-neural-networks.html	
101	link	Karpathy et al.	Backpropagation Intuitions	http://cs231n.github.io/optimization-2/	
102	link	Karpathy et al.	Yes you should understand backprop	https://medium.com/@karpathy/yes-you-should-understand-backprop-e2f06eab496b#.tekriru0z	
103	link	Nielsen	Improving the way neural networks learn	http://neuralnetworksanddeeplearning.com/chap3.html	
104	link	Ruder	Overview of gradient descent optimization methods	http://sebastianruder.com/optimizing-gradient-descent/index.html#gradientdescentvariants	
105	video	Corucci et al	Evolving Swimming Sof-Bodied Creatures	https://www.youtube.com/watch?v=4ZqdvYrZ3ro	
106	paper	Corucci et al	Evolving Swimming Sof-Bodied Creatures	http://sssa.bioroboticsinstitute.it/sites/default/files/user_docs/2016_ALIFE_LateBreaking_SWIMMING.pdf	F. Corucci, N. Cheney, H. Lipson, C. Laschi and J. Bongard, "Evolving swimming soft-bodied creatures." The Fifteenth International Conference on the Synthesis and Simulation of Living Systems (ALIFE XV).
107	link	Britz	Recurrent Neural Networks Tutorial	http://www.wildml.com/2015/09/recurrent-neural-networks-tutorial-part-1-introduction-to-rnns/	
108	paper	Bascanu et al.	On the difficulty of training recurrent neural networks	http://www.jmlr.org/proceedings/papers/v28/pascanu13.pdf	Pascanu, Razvan, Tomas Mikolov, and Yoshua Bengio. "On the difficulty of training recurrent neural networks." ICML (3) 28 (2013): 1310-1318.
109	link	Olah	Understanding LSTM Networks	http://colah.github.io/posts/2015-08-Understanding-LSTMs/	
110	link	Cameron et al.	Teaching a Machine to Steer a Car	https://medium.com/udacity/teaching-a-machine-to-steer-a-car-d73217f2492c#.xm8d85nra	
111	link	Edrenkin et al.	Team Komanda: Udacity Self-Driving Car Challenge 2	https://github.com/udacity/self-driving-car/blob/master/steering-models/community-models/komanda/solution-komanda.ipynb	
112	link	Britz	Backpropagation Through Time and Vanishing Gradients	http://www.wildml.com/2015/10/recurrent-neural-networks-tutorial-part-3-backpropagation-through-time-and-vanishing-gradients/	
113	paper	Bojarski et al.	End to End Learning for Self-Driving Cars	https://arxiv.org/pdf/1604.07316v1	
114	link	Forbes et al.	Team Chauffeur: Udacity Self-Driving Car Challenge 2	https://github.com/udacity/self-driving-car/tree/master/steering-models/community-models/chauffeur	
115	paper	Lipton et al.	Learning to diagnose with LSTM recurrent neural networks	https://arxiv.org/pdf/1511.03677.pdf	Lipton, Zachary C., et al. "Learning to diagnose with LSTM recurrent neural networks." arXiv preprint arXiv:1511.03677 (2015).
116	paper	Yoshihara et al.	Leveraging temporal properties of news events for stock market prediction	http://www.sciedu.ca/journal/index.php/air/article/download/7720/5022	Yoshihara, Akira, Kazuhiro Seki, and Kuniaki Uehara. "Leveraging temporal properties of news events for stock market prediction." Artificial Intelligence Research 5.1 (2015): 103.
117	video	SomethingUnreal	Neural Network Tries to Generate English Speech (RNN/LSTM)	https://www.youtube.com/watch?v=NG-LATBZNBs	
118	video 	Dimkovic	DigiCortex Artificial Brain Simulation - Retina + 8 Million Cortical Neurons / 2 Billion Synapses	https://www.youtube.com/watch?v=_33K1zTtoow	
119	image	Patterson	Machine Learning and having it deep and structured Introduction.	http://slideplayer.com/slide/5285183/	
120	link	Hays	Computer Vision: Summary and Discussion	http://cs.brown.edu/courses/cs143/2011/lectures/30.pdf	
121	video	Cats	Cat + Monkey 2016	https://www.youtube.com/watch?v=YtEhX7mhDJc	
122	image	Deshpande	A Beginner's Guide To Understanding Convolutional Neural Networks	https://adeshpande3.github.io/adeshpande3.github.io/A-Beginner's-Guide-To-Understanding-Convolutional-Neural-Networks/	
123	link	Giro-i-Nieto	Imagenet	http://imatge-upc.github.io/telecombcn-2016-dlcv/slides/D2L4-imagenet.pdf	
124	link	Karn	An Intuitive Explanation of Convolutional Neural Networks	https://ujjwalkarn.me/2016/08/11/intuitive-explanation-convnets/	
125	image	Kataoka	VGGNet	http://www.hirokatsukataoka.net/research/cnnfeatureevaluation/cnnarchitecture.jpg	
126	image	Santos	GoogLeNet	https://leonardoaraujosantos.gitbooks.io/artificial-inteligence/content/googlenet.html	
127	video	Kendall et al.	SegNet	http://mi.eng.cam.ac.uk/projects/segnet/	
128	paper	Simonyan et al.	Very Deep Convolutional Networks for Large-Scale Image Recognition	https://arxiv.org/pdf/1409.1556.pdf	Simonyan, Karen, and Andrew Zisserman. "Very deep convolutional networks for large-scale image recognition." arXiv preprint arXiv:1409.1556 (2014).
129	paper	Szegedy et al.	Going Deeper with Convolutions	http://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Szegedy_Going_Deeper_With_2015_CVPR_paper.pdf	
130	paper	He et al.	Deep Residual Learning for Image Recognition	http://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/He_Deep_Residual_Learning_CVPR_2016_paper.pdf	
131	paper 	Abdic et al.	Detecting Road Surface Wetness from Audio: A Deep Learning Approach	https://arxiv.org/pdf/1511.07035.pdf	
132	video	Kushleyev	Visualization of LIDAR data	https://www.youtube.com/watch?v=nXlqv_k4P8Q	
133	video	Boston Dynamics	Atlas, The Next Generation	https://www.youtube.com/watch?v=rVlhMGQgDkY	
134	image	Morgan Stanley Research	Timeline for Adoption	http://www.web-strategist.com/blog/wp-content/uploads/2015/02/morgan-stanley-dcars.png	
135	paper	Charles et al.	Upper body pose estimation with temporal sequential forests.	http://eprints.whiterose.ac.uk/83898/1/charles14BMVC.pdf	
136	paper	Pfister et al.	Flowing ConvNets for Human Pose Estimation in Videos	http://www.cv-foundation.org/openaccess/content_iccv_2015/papers/Pfister_Flowing_ConvNets_for_ICCV_2015_paper.pdf	Pfister, Tomas, James Charles, and Andrew Zisserman. "Flowing convnets for human pose estimation in videos." Proceedings of the IEEE International Conference on Computer Vision. 2015.
137	image	CNET	Keeping Moore's Law ticking	https://www.cnet.com/pictures/keeping-moores-law-ticking-pictures/14/	
138	link	MIT Tech Review	Why Self-Driving Cars Must Be Programmed to Kill	https://www.technologyreview.com/s/542626/why-self-driving-cars-must-be-programmed-to-kill/#	
139	video		Neural Network 3D Simulation	https://www.youtube.com/watch?v=3JQ3hYko51Y	
140	link		Regularization in deep learning	https://chatbotslife.com/regularization-in-deep-learning-f649a45d6e0	
141	link		Intuitive explanation of over-fitting	https://www.quora.com/What-is-an-intuitive-explanation-of-over-fitting-particularly-with-a-small-sample-set-What-are-you-essentially-doing-by-over-fitting-How-does-the-over-promise-of-a-high-R%C2%B2-low-standard-error-occur	
142	video		Simulated Thalamocortical Brain Network	https://www.youtube.com/watch?v=fTBw7QbjSNI	
143	link		What is the difference between biological and artificial neural networks?	https://psychology.stackexchange.com/questions/7880/what-is-the-difference-between-biological-and-artificial-neural-networks	
144	link		Apartment Price Map	https://www.jefftk.com/apartment_prices/index#2017-12-18&1	
145	video		Tesla's Autopilot System Is Creepy And Wonderful	https://www.youtube.com/watch?v=3yCAZWdqX_Y	
146	link		Neural Networks, Manifolds, and Topology	http://colah.github.io/posts/2014-03-NN-Manifolds-Topology/	
147	link		Regularization Techniques in Neural Networks	https://piazza-resources.s3.amazonaws.com/ieytirtomz425i/ifyrgs0anxs3d5/Oct19Lecture.pdf?AWSAccessKeyId=AKIAIEDNRLJ4AZKBW6HA&Expires=1515451480&Signature=AR60zkODEa12UQisLtO%2FbVpSrRg%3D	
148	link		Understanding Activation Functions in Deep Learning	https://www.learnopencv.com/understanding-activation-functions-in-deep-learning/	
149	link		AlphaGo Zero: Learning from scratch	https://deepmind.com/blog/alphago-zero-learning-scratch/	
150	paper		DeepStack: Expert-Level Artificial Intelligence in Heads-Up No-Limit Poker	https://static1.squarespace.com/static/58a75073e6f2e1c1d5b36630/t/58b7a3dce3df28761dd25e54/1488430045412/DeepStack.pdf	
151	link		High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs	https://tcwang0509.github.io/pix2pixHD/	
152	link		Background removal with deep learning	https://towardsdatascience.com/background-removal-with-deep-learning-c4f2104b3157	
153	paper		Deep Learning: A Critical Appraisal	https://arxiv.org/ftp/arxiv/papers/1801/1801.00631.pdf	
154	link		TensorFlow Playground	http://playground.tensorflow.org	
155	link		Sensors and Data Management for Autonomous Vehicles report 2015	https://www.i-micronews.com/images/Flyers/MEMS/Yole_Sensors_and_Data_Management_for_Autonomous_Vehicles_Report_October_2015_web.pdf	
156	link		Radar and Ultrasonic Sensors Strengthen ADAS Object Detection	http://www.electronicdesign.com/automotive/radar-and-ultrasonic-sensors-strengthen-adas-object-detection	
157	link 		Taxonomy and Definitions for Terms Related to On-Road Motor Vehicle Automated Driving Systems	https://saemobilus.sae.org/content/j3016_201401	
158	link		Guiding Light	https://www.theverge.com/2017/10/18/16491052/velodyne-lidar-mapping-self-driving-car-david-hall-interview	
159	video		Smartmicro Automotive Radar	https://www.youtube.com/watch?v=URi4raUe2Cs	
160	link		Tesla & Google Disagree About LIDAR — Which Is Right?	https://cleantechnica.com/2016/07/29/tesla-google-disagree-lidar-right/	
161	link		DeepVO	http://senwang.gitlab.io/DeepVO/	
162	video		RRT* algorithm on a race car (180 degree turn)	https://www.youtube.com/watch?v=KSB_9KE6fWI	
163	link		Autonomous driving is here, and it’s going to change everything	https://www.recode.net/2017/4/19/15364608/autonomous-self-driving-cars-impact-disruption-society-mobility	
164	link		My Dated Predictions	http://rodneybrooks.com/my-dated-predictions/	
165	link		Deep Learning in a Nutshell: Reinforcement Learning	https://devblogs.nvidia.com/parallelforall/deep-learning-nutshell-reinforcement-learning/	
166	link		Introduction to Reinforcement Learning — Deep Reinforcement Learning for Hackers (Part 0)	https://medium.com/@curiousily/getting-your-feet-rewarded-deep-reinforcement-learning-for-hackers-part-0-900ca5bb83e5	
167	link		Welcome to Deep Reinforcement Learning Part 1 : DQN	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=0ahUKEwjgn9e-hM7YAhVESN8KHQb9BDoQFghOMAU&url=https%3A%2F%2Ftowardsdatascience.com%2Fwelcome-to-deep-reinforcement-learning-part-1-dqn-c3cab4d41b6b&usg=AOvVaw2GwQFtTkQsbtcu0kXcbw6v	
168	video		What's new, Atlas?	https://www.youtube.com/watch?v=fRj34o4hN4I	
169	video		Waymo's fully self-driving cars are here	https://www.youtube.com/watch?v=aaOB-ErYq6Y	
170	link		The 3 Tricks That Made AlphaGo Zero Work	https://medium.com/@sethweidman/the-3-tricks-that-made-alphago-zero-work-f3d47b6686ef	
171	link		Go and mathematics	https://en.wikipedia.org/wiki/Go_and_mathematics	
172	link		Inception modules: explained and implemented	https://hacktilldawn.com/2016/09/25/inception-modules-explained-and-implemented/	
173	paper		Fully Convolutional Networks for Semantic Segmentation	https://arxiv.org/abs/1411.4038	
174	link		A 2017 Guide to Semantic Segmentation with Deep Learning	http://blog.qure.ai/notes/semantic-segmentation-deep-learning-review#fcn	
175	paper		SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation	https://arxiv.org/abs/1511.00561	
176	paper		Understanding Convolution for Semantic Segmentation	https://arxiv.org/pdf/1702.08502.pdf	
177	paper		FlowNet: Learning Optical Flow with Convolutional Networks	https://arxiv.org/pdf/1504.06852.pdf	
178	paper		FlowNet 2.0: Evolution of Optical Flow Estimation with Deep Networks	https://lmb.informatik.uni-freiburg.de/Publications/2017/IMKDB17/paper-FlowNet_2_0__CVPR.pdf	
179	paper		DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs	https://arxiv.org/abs/1606.00915	
180	link		Squeeze-and-Excitation Networks	https://towardsdatascience.com/squeeze-and-excitation-networks-9ef5e71eacd7	
181	paper		Squeeze-and-Excitation Networks	https://arxiv.org/abs/1709.01507	
182	link		Understanding Hinton’s Capsule Networks. Part I: Intuition.	https://medium.com/ai%C2%B3-theory-practice-business/understanding-hintons-capsule-networks-part-i-intuition-b4b559d1159b	
183	link		Pedestrian detection	https://en.wikipedia.org/wiki/Pedestrian_detection	
184	link		Towards Viewpoint Invariant 3D Human Pose Estimation	https://www.albert.cm/projects/viewpoint_3d_pose/	
185	link		Playing around with RCNN, State of the Art Object Detector	https://cs.stanford.edu/people/karpathy/rcnn/	
186	link		Selective Search for Object Recognition	https://ivi.fnwi.uva.nl/isis/publications/bibtexbrowser.php?key=UijlingsIJCV2013&bib=all.bib	
